Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
4516	40425	0.843020833	40425	0.843020833	0.286	-05:00	1128.74	4972.13	5769	-2.55	1.14	20140906t011357_022000z
4517	40425	0.843194444	40425	0.843194444	0.526	-05:00	1028.71	4852.18	5769	-2.6	1.34	20140906t011412_369500z
4518	40425	0.843287037	40425	0.843287037	0.23	-05:00	548.78	4662.07	5736.51	-2.71	2.48	20140906t011420_984750z
4519	40425	0.843402778	40425	0.843402778	0.994	-05:00	488.76	4502.1	5688.41	-2.82	1.45	20140906t011430_806750z
4520	40425	0.843738426	40425	0.843738426	0.996	-05:00	320.22	4664.97	5659.09	-2.78	1.28	20140906t011459_789000z
4521	40425	0.843946759	40425	0.843946759	0.244	-05:00	408.73	5047.17	5787.35	-2.64	0.69	20140906t011517_074000z
4522	40425	0.844305556	40425	0.844305556	0.256	-05:00	308.74	4728.06	5716.75	-2.94	1.78	20140906t011548_049000z
4523	40425	0.844398148	40425	0.844398148	0.267	-05:00	469.53	4642.09	5802.06	-2.72	2.61	20140906t011556_064500z
4524	40425	0.844594907	40425	0.844594907	0.149	-05:00	288.75	4802.1	5675.34	-2.81	1.29	20140906t011613_953250z
4525	40425	0.84462963	40425	0.84462963	0.494	-05:00	208.72	4849.78	5558.38	-2.88	1.35	20140906t011616_315750z
4526	40425	0.844907407	40425	0.844907407	0.576	-05:00	491.33	4642.1	5772.38	-2.73	2.02	20140906t011640_381750z
4527	40425	0.845011574	40425	0.845011574	0.867	-05:00	548.78	4722.07	5639.5	-2.74	2.13	20140906t011649_670500z
4528	40425	0.845532407	40425	0.845532407	0.346	-05:00	529.25	4722.08	5530.19	-2.82	1.5	20140906t011734_190250z
4529	40425	0.845601852	40425	0.845601852	0.035	-05:00	434.8	4622.1	5691	-3	1.74	20140906t011740_860500z
4530	40425	0.845671296	40425	0.845671296	0.078	-05:00	408.73	4662.12	5683.89	-2.87	2.59	20140906t011746_889500z
4531	40425	0.846134259	40425	0.846134259	0.972	-05:00	1048.78	4832.04	5829	-2.52	2.99	20140906t011826_816500z
4532	40425	0.846215278	40425	0.846215278	0.333	-05:00	408.74	4572.12	5718.71	-2.9	1.7	20140906t011833_121500z
4533	40425	0.846597222	40425	0.846597222	0.427	-05:00	911.22	4552.35	5587.66	-2.39	1.57	20140906t011906_269250z
4534	40425	0.846979167	40425	0.846979167	0.996	-05:00	248.76	4625.88	5717.56	-2.99	1.39	20140906t011939_806750z
4535	40425	0.847349537	40425	0.847349537	0.549	-05:00	72.92	4835.93	5789	-2.73	1.39	20140906t012011_384750z
4536	40425	0.847372685	40425	0.847372685	0.028	-05:00	250.64	4689.23	5660.88	-2.86	1.91	20140906t012013_802250z
