Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
142	40406	0.481331019	40406	0.481331019	0.179	-05:00	140.28	4841.3	5790.09	-2.58	1.91	20140817t163307_991750z
143	40406	0.482453704	40406	0.482453704	0.834	-05:00	746.76	4701.85	5468.71	-2.9	1.38	20140817t163444_686500z
144	40406	0.485231481	40406	0.485231481	0.358	-05:00	-60.68	4370.19	5830.91	-2.99	1.09	20140817t163844_103000z
145	40406	0.486782407	40406	0.486782407	0.067	-05:00	827.78	4561.83	5475.24	-2.31	1.28	20140817t164058_764000z
146	40406	0.487395833	40406	0.487395833	0.229	-05:00	287.78	4281.87	5726.64	-2.59	1.88	20140817t164151_016000z
147	40406	0.491157407	40406	0.491157407	0.602	-05:00	407.79	4495.81	5536.29	-2.57	1.98	20140817t164716_390500z
148	40406	0.491631944	40406	0.491631944	0.054	-05:00	527.53	4663.73	5520.87	-2.15	3.37	20140817t164757_855750z
149	40406	0.491666667	40406	0.491666667	0.148	-05:00	-192.2	4761.87	5537.17	-2.19	1.65	20140817t164800_966750z
150	40406	0.495671296	40406	0.495671296	0.897	-05:00	-62.56	4645.94	5646.91	-3.01	1.2	20140817t165346_701750z
151	40406	0.496099537	40406	0.496099537	0.559	-05:00	-52.2	4556.73	5788.43	-2.44	2.88	20140817t165423_332000z
152	40406	0.497743056	40406	0.497743056	0.398	-05:00	347.88	4683.11	5893.37	-2.8	3.27	20140817t165645_201500z
153	40406	0.498599537	40406	0.498599537	0.718	-05:00	327.78	4601.84	5545.97	-2.49	2.47	20140817t165759_530250z
154	40406	0.4996875	40406	0.4996875	0.283	-05:00	321.29	4579.92	5500.82	-3.12	1.74	20140817t165933_083250z
155	40406	0.499814815	40406	0.499814815	0.937	-05:00	327.77	4581.86	5517.72	-2.72	1.92	20140817t165944_752500z
156	40406	0.503113426	40406	0.503113426	0.871	-05:00	87.78	4362.36	5552.11	-2.83	3.14	20140817t170429_626750z
157	40406	0.510625	40406	0.510625	0.28	-05:00	347.78	4621.85	5749.72	-3.12	1.48	20140817t171518_068500z
158	40406	0.515219907	40406	0.515219907	0.311	-05:00	-189.49	4337.66	5806.41	-2.17	0.81	20140817t172155_108250z
159	40406	0.51556713	40406	0.51556713	0.288	-05:00	-62.24	4581.84	5923.86	-2.33	2.47	20140817t172225_064000z
160	40406	0.516180556	40406	0.516180556	0.218	-05:00	666.06	4781.87	5838.68	-2.01	2.08	20140817t172318_042750z
161	40406	0.516493056	40406	0.516493056	0.57	-05:00	307.82	5141.27	5846.37	-1.8	1.81	20140817t172345_412000z
162	40406	0.516493056	40406	0.516493056	0.868	-05:00	884.25	4823.6	5868.17	-1.72	2.48	20140817t172345_706750z
163	40406	0.516516204	40406	0.516516204	0.314	-05:00	1035.36	4035.24	5883.26	-1.92	1.31	20140817t172347_193000z
